artist,title,track_no,track_no_source,unknown,from_cd_artist,from_cd_title,mix_id,mix_name
"Riviera, sandy",Changes (& haze),60001809,T02: 03,1.0,MOS clubbers guide to 2003,V,Z0018,Car CD 13
"Streets, the",Weak becomes heroes,60001810,T01: 17,1.0,"MOS annual 2003, the",V,Z0018,Car CD 13
"Vass, dina","Love I have for you, the",60001811,T01: 14,1.0,"MOS annual 2003, the",V,Z0018,Car CD 13
Raffen,Enough of your love,60001812,T12,1.0,"Fashion tv, spring summer 2001 collection",V,Z0018,Car CD 13
Cassius,"Sound of violence, the (& steve edwards)",60001813,T01: 07,1.0,"MOS annual 2003, the",V,Z0018,Car CD 13
Dakota,Lost in brixton,60001814,T01: 12,1.0,"Global underground 021, deep dish, moscow",V,Z0018,Car CD 13
Satori,Satori,60001815,T02: 10,1.0,"Faith 1, house classics past & present, terry farley & bill brewster",V,Z0018,Car CD 13
Bt,Shame,60001901,T02: 01,1.0,"Global underground 021, deep dish, moscow",V,Z0019,Car CD 14
Basement jaxx,Do your thing,60001902,T01: 06,0.0,"MOS annual 2003, the",V,Z0019,Car CD 14
Raven maize,Fascinated,60001903,T01: 05,1.0,"MOS annual 2003, the",V,Z0019,Car CD 14
She rockers,On shane (& vs utah saints),60001904,T10,1.0,New school vs old school 2,V,Z0019,Car CD 14
Nerd,Run to the sun,60001905,T07,1.0,Nerd,In search of,Z0019,Car CD 14
Jamiroquai,Love foolsonly,60001906,T01: 04,1.0,"MOS annual 2003, the",V,Z0019,Car CD 14
Bis project,Girls like us,60001907,T13,1.0,MOS 2step the album,V,Z0019,Car CD 14
"Artful dodger, the",Moving too fast (& romina johnson),60001909,T02: 02,1.0,"Ayia napa, ultimate",V,Z0019,Car CD 14
"Aaron, robert",Sax in the ozone,60001910,T02: 03,1.0,"Faith 1, house classics past & present, terry farley & bill brewster",V,Z0019,Car CD 14
"Jones, digby",Pina colada,60001911,T12,1.0,Cafe del mar 8 (ocho),V,Z0019,Car CD 14
Layo & bushwacka,Love story,60001912,T01: 02,1.0,"MOS annual 2003, the",V,Z0019,Car CD 14
Il padrinos,That's how good your love is (& jocelyn brown),60001913,T01: 03,1.0,"MOS annual 2003, the",V,Z0019,Car CD 14
King unique,Look ahead,60001914,T01: 18,1.0,"Ayia napa, ultimate",V,Z0019,Car CD 14
India,To be in love (& maw presents),60001915,T01: 19,1.0,"Ayia napa, ultimate",V,Z0019,Car CD 14
Kings of tomorrow,Finally,60001916,T01: 11,1.0,"Faith 1, house classics past & present, terry farley & bill brewster",V,Z0019,Car CD 14
Fridge,Paradise,60001917,T02: 12,1.0,Street fm 1,V,Z0019,Car CD 14
Fc kahuna,Hdyling,60014901,T02: 04,0.0,"Chillout classics, the ultimate album",V,ZZZ0149,Drm 034 Superchilled 04
Hong kong trash,Down the river,60014902,T02: 12,0.0,"MOS late night sessions 2, xpress2",V,ZZZ0149,Drm 034 Superchilled 04
"Moneypenny project, the",Marie lou,60014908,T14,0.0,"Fashion tv, spring summer 2001 collection",V,ZZZ0149,Drm 034 Superchilled 04
"Tobin, amon",Natureland,60014909,T12,0.0,"Tobin, amon",Supermodified,ZZZ0149,Drm 034 Superchilled 04
"Avalanches, the",Eion / Summer crane,60014910,"T14,15",0.0,"Avalanches, the",Since I left you,ZZZ0149,Drm 034 Superchilled 04
Kinobe,Slip into something more comfortable,60014911,T01: 02,0.0,"Chillout classics, the ultimate album",V,ZZZ0149,Drm 034 Superchilled 04
Golan project,Triptica,60014912,T01: 01 (& 02),0.0,"Dusk at byron bay, sharif galal",V,ZZZ0149,Drm 034 Superchilled 04
"Tobin, amon",Keeping it stree,60014913,T11,0.0,"Tobin, amon",Supermodified,ZZZ0149,Drm 034 Superchilled 04
4 tet,Rivers become oceans (& rothko),60015001,T07,0.0,Fabulous shit,V,ZZZ0150,Drm 035 Superchilled 05
Afterlife,How does it feel,60015002,T01: 05,0.0,Zen connection 3,V,ZZZ0150,Drm 035 Superchilled 05
Chungking,Bubble love,60015003,T01: 06,0.0,"Chillout classics, the ultimate album",V,ZZZ0150,Drm 035 Superchilled 05
Goldfrapp,Pilots,60015004,T04,0.0,Goldfrapp,Felt mountain,ZZZ0150,Drm 035 Superchilled 05
Thievery corporation,Un simple histoire (voidd remix),60015005,T08,0.0,"Thievery corporation, babylon rewound",V,ZZZ0150,Drm 035 Superchilled 05
Fun loving criminals,Methodonia,60015006,T13,0.0,Fun loving criminals,Come find yourself,ZZZ0150,Drm 035 Superchilled 05
Bhakta & helen,Something strong,60015007,T01: 08,0.0,Zen connection 3,V,ZZZ0150,Drm 035 Superchilled 05
Funkstar de luxe,When I think of you (& the crickets),60015008,T01: 08,0.0,Disco kandi,V,ZZZ0150,Drm 035 Superchilled 05
