Artist,Title,Track no. on CDR,Track no. on source CD,,From CD artist,From CD title ( V = Various Artists)
Ntrance,Set me free,60001110,T03: 03,1,"MOS annual 2002, the",V
Just us,What a night,60001111,T02: 12,1,"MOS annual 2002, the",V
Ground level,Searching for the truth,60001112,T10,1,Ground level,New moon
Funkygreendogs,Fired up,60001113,T02,1,Funkygreendogs,Getfiredup
Zzzz_00017,,60001700,20050902,0,,ZZZ 0017 Car CD 12  - chilled mixed dance
Jetlag,So right,60001701,T02: 15,1,MOS clubbers guide to 2003,V
Krystal k,Let's get it right,60001702,T02: 12,1,MOS clubbers guide to 2003,V
Madasun,Walking on water,60001703,T02: 12,1,"Ayia napa, ultimate",V
Chateau,Prism,60001704,T11,1,"Fashion tv, spring summer 2001 collection",V
Groove armada,In side my mind,60001705,T12,1,Groove armada,Vertigo
Groove armada,"Private interlude, a",60001706,T08,1,Groove armada,Vertigo
"Wilkie, ian",Guten morgen,60001707,T08,1,Global underground destinations,V
Oscar,Sunday 17th,60001708,T09,1,"Fashion tv, spring summer 2001 collection",V
Friendly,Some kind of love song,60001709,T07,1,Escape,V
Wicked beat sound system,I don't want to know,60001710,T05,1,Escape,V
Hunting party,Grooving,60001711,T10,1,Escape,V
Perpetual ocean,Starbright,60001712,T11,1,Escape,V
Groove armada,Dusk you & me,60001713,T03,1,Groove armada,Vertigo
Indian ropeman,Indian ropeman,60001714,T01: 07,1,We are skint,V
Kosheen,Harder,60001715,T05,1,Kosheen,Resist
Zzzz_00018,,60001800,20050903,0,,Z 0018 Car CD 13
"Linen, max","Sound shaker, the",60001801,T01: 17,1,"MOS annual 2002, the",V
"Artful dodger, the",What you gonna do (remix),60001802,T13,1,"Artful dodger, the",It's all about the stragglers
Illumination,Cookie river,60001803,T09,1,Cafe del mar 8 (ocho),V
Bedlam,Da force,60001804,T02: 10,1,Street fm 1,V
"Beginerz, the",Reckless girl,60001805,T01: 01,1,"MOS annual 2003, the",V
Natural calamity,And that's saying a lot,60001806,T09,1,This is not a soundclash,V
Fenomenon,Out of control,60001807,T06,0,This is not a soundclash,V
Mambana,No reason,60001808,T02: 06,1,MOS clubbers guide to 2003,V
"Riviera, sandy",Changes (& haze),60001809,T02: 03,1,MOS clubbers guide to 2003,V
"Streets, the",Weak becomes heroes,60001810,T01: 17,1,"MOS annual 2003, the",V
"Vass, dina","Love I have for you, the",60001811,T01: 14,1,"MOS annual 2003, the",V
Raffen,Enough of your love,60001812,T12,1,"Fashion tv, spring summer 2001 collection",V
Cassius,"Sound of violence, the (& steve edwards)",60001813,T01: 07,1,"MOS annual 2003, the",V
Dakota,Lost in brixton,60001814,T01: 12,1,"Global underground 021, deep dish, moscow",V
